起始城市	到达城市	公司			航班号	起飞时间戳		到达时间戳		价格	最大折扣	满载	当前人数		
阿勒泰	乌鲁木齐	中国南方航空(集团)公司	CZ6684	201711011110	201711011220	1864	0.27	260	251	
阿勒泰	乌鲁木齐	中国南方航空(集团)公司	CZ6842	201712152110	201712152200	1750	0.1	270	263	
阿克苏	乌鲁木齐	中国南方航空(集团)公司	CZ6862	201712081145	201712081335	3588	0.2	290	286	
阿克苏	乌鲁木齐	中国南方航空(集团)公司	CZ6864	201712111645	201712111835	2382	0	210	204	
安庆	广州	中国南方航空(集团)公司	CZ3586	201711111140	201711111325	2335	0.5	200	195	
包头	北京	上海航空公司		FM2946	201712072030	201712072130	1584	0.1	100	92	
包头	北京	中国国际航空公司		CA1122	201711162025	201711162140	2901	0.5	290	287	
包头	北京	上海航空公司		FM2910	201711261700	201711261800	3601	0.1	100	96	
包头	北京	中国国际航空公司		CA1142	201711160940	201711161050	2625	0.4	260	251	
包头	北京	中国国际航空公司		CA1262	201711061145	201711061255	2067	0.1	120	117	
包头	北京	中国国际航空公司		CA1136	201711221610	201711221720	3120	0.36	100	97	
包头	北京	中国国际航空公司		CA1108	201712010710	201712010820	2051	0.2	230	220	
包头	昆明	中国南方航空(集团)公司	CZ6239	201712221150	201712221515	2600	0.3	230	225	
包头	昆明	中国南方航空(集团)公司	CZ6465	201712141150	201712141515	1530	0.4	270	264	
包头	沈阳	中国南方航空(集团)公司	CZ6456	201712041730	201712041900	3785	0.05	180	175	
包头	长春	中国南方航空(集团)公司	CZ6466	201711132040	201711132240	2505	0.4	160	150	
包头	长春	中国南方航空(集团)公司	CZ6240	201711182040	201711182240	2608	0.3	230	224	
北海	北京	中国南方航空(集团)公司	CZ3147	201712270800	201712271235	3461	0.3	160	154	
北海	北京	中国国际航空公司		CA1882	201712301600	201712301910	2134	0.5	260	254	
北海	成都	鹰联航空公司		EU2716	201711211810	201711212010	1915	0.5	210	207	
北海	重庆	鹰联航空公司		EU2717	201712170950	201712171120	1729	0.2	290	284	
北海	广州	中国南方航空(集团)公司	CZ3354	201711070750	201711070905	3521	0.04	260	251	
北海	广州	中国南方航空(集团)公司	CZ3352	201711111230	201711111330	1226	0.1	280	275	
北海	三亚	鹰联航空公司		EU2719	201712111420	201712111455	3351	0.24	130	124	
北海	长沙	中国南方航空(集团)公司	CZ3147	201711020800	201711020930	1858	0.3	240	230	
北海	长沙	中国南方航空(集团)公司	CZ2890	201712230700	201712230830	1999	0.3	290	287	
北海	长沙	中国南方航空(集团)公司	CZ3620	201712131810	201712131950	3088	0.4	160	152	
北海	郑州	中国南方航空(集团)公司	CZ3620	201711101810	201711102200	2509	0.1	300	291	
北京	运城	中国国际航空公司		CA1133	201711160830	201711161005	3286	0.2	180	176	
北京	运城	中国国际航空公司		CA1237	201711201410	201711201535	3628	0	100	93	
北京	长白山	中国南方航空(集团)公司	CZ6394	201711142040	201711142240	3250	0.3	210	200	
北京	包头	中国国际航空公司		CA1121	201711271825	201711271925	1950	0.2	100	97	
北京	包头	中国国际航空公司		CA1107	201712232010	201712232120	2700	0.4	290	285	
北京	包头	中国国际航空公司		CA1141	201711200730	201711200830	2267	0	220	217	
北京	包头	中国国际航空公司		CA1261	201712090945	201712091055	1871	0.1	220	214	
