璧峰鍩庡競缂╁啓	鍒拌揪鍩庡競缂╁啓	鍏徃	鑸彮鍙?璧烽鏃堕棿鎴?鍒拌揪鏃堕棿鎴?浠锋牸	鏈€澶ф姌鎵?婊¤浇	褰撳墠浜烘暟				
AAT	URC	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6684	2.01711E+11	2.01711E+11	2608	0.15	200	194
AAT	URC	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6842	2.01712E+11	2.01712E+11	1470	0.4	160	156
AKU	URC	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6862	2.01711E+11	2.01711E+11	2037	0.1	120	116
AKU	URC	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6864	2.01711E+11	2.01711E+11	3208	0	260	256
AQG	CAN	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ3586	2.01711E+11	2.01711E+11	2863	0.3	270	261
BAV	BJS	涓婃捣鑸┖鍏徃	FM2910	2.01711E+11	2.01711E+11	2710	0.2	150	141
BAV	BJS	涓婃捣鑸┖鍏徃	FM2946	2.01711E+11	2.01711E+11	3454	0.3	120	110
BAV	BJS	涓浗鍥介檯鑸┖鍏徃	CA1108	2.01711E+11	2.01711E+11	1620	0	150	142
BAV	BJS	涓浗鍥介檯鑸┖鍏徃	CA1142	2.01712E+11	2.01712E+11	1729	0.3	190	184
BAV	BJS	涓浗鍥介檯鑸┖鍏徃	CA1262	2.01711E+11	2.01711E+11	2839	0.1	240	232
BAV	BJS	涓浗鍥介檯鑸┖鍏徃	CA1136	2.01711E+11	2.01711E+11	1681	0.02	190	186
BAV	BJS	涓浗鍥介檯鑸┖鍏徃	CA1122	2.01711E+11	2.01711E+11	2011	0.3	150	143
BAV	SHE	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6456	2.01711E+11	2.01711E+11	2980	0.4	170	164
BAV	KMG	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6465	2.01711E+11	2.01711E+11	2852	0.4	160	154
BAV	KMG	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6239	2.01712E+11	2.01712E+11	2782	0.2	100	93
BAV	CGQ	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6466	2.01712E+11	2.01712E+11	2633	0.3	170	162
BAV	CGQ	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ6240	2.01712E+11	2.01712E+11	2391	0.2	260	255
BHY	SYX	楣拌仈鑸┖鍏徃	EU2719	2.01712E+11	2.01712E+11	1925	0.43	200	194
BHY	CSX	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ2890	2.01711E+11	2.01711E+11	1386	0.2	230	222
BHY	CSX	涓浗鍗楁柟鑸┖(闆嗗洟)鍏徃	CZ3147	2.01711E+11	2.01711E+11	2259	0	160	156
